order_id,customer_id,product_id,date_key,quantity,unit_price,amount
ORD-0147,15,9,20260205,1,2890.0,2890.0
ORD-0148,15,1,20260117,5,650.0,3250.0
ORD-0149,3,5,20260409,2,711.0,1422.0
ORD-0150,9,6,20260320,2,1590.0,3180.0
ORD-0151,16,5,20260303,5,790.0,3950.0
ORD-0152,12,7,20260418,3,4360.5,13081.5
ORD-0153,14,3,20260201,1,90.25,90.25
ORD-0154,4,7,20260117,2,4360.5,8721.0
ORD-0155,6,6,20260115,2,1431.0,2862.0
ORD-0156,3,1,20260416,3,617.5,1852.5
ORD-0157,11,3,20260413,3,90.25,270.75
ORD-0158,18,4,20260407,3,546.0,1638.0
ORD-0159,18,9,20260216,1,2745.5,2745.5
ORD-0160,1,5,20260225,5,750.5,3752.5
ORD-0161,14,7,20260115,2,4590.0,9180.0
ORD-0162,9,7,20260207,5,4131.0,20655.0
ORD-0163,18,6,20260429,2,1590.0,3180.0
ORD-0164,17,9,20260201,2,2890.0,5780.0
ORD-0165,7,6,20260414,5,1590.0,7950.0
ORD-0166,1,7,20260414,4,4590.0,18360.0
ORD-0167,3,8,20260422,4,126.0,504.0
ORD-0168,13,1,20260114,5,650.0,3250.0
ORD-0169,4,6,20260307,3,1510.5,4531.5
ORD-0170,2,11,20260429,3,1225.5,3676.5
ORD-0171,13,10,20260225,3,934.5,2803.5
ORD-0172,11,6,20260312,2,1431.0,2862.0
ORD-0173,7,12,20260219,5,405.0,2025.0
ORD-0174,16,9,20260422,5,2890.0,14450.0
ORD-0175,14,7,20260218,5,4131.0,20655.0
ORD-0176,1,8,20260409,1,114.0,114.0
ORD-0177,8,7,20260404,3,4360.5,13081.5
ORD-0178,9,4,20260325,2,520.0,1040.0
ORD-0179,6,9,20260406,3,3034.5,9103.5
ORD-0180,10,1,20260221,5,650.0,3250.0
